GAME	DATE	SCORE	PTS	REB	AST	MIN	2M-2A	3M-3A	FG%	1M-1A	1%	OR	DR	REB	AST	STL	TO	BLK	PTS	EFF
	19-Oct-22	L 126-117	26	15	5	37	12-Aug	6-Jan	50.00%	9-Jul	77.80%	1	14	15	5	0	6	1	26	30
@ Boston Celtics																				
	21-Oct-22	L 88-90	15	12	3	36	18-May	3-Jan	28.60%	3-Feb	66.70%	1	11	12	3	0	4	1	15	11
vs Milwaukee Bucks																				
	23-Oct-22	L 105-114	40	13	3	36	14-23	0-2	56.00%	15-Dec	80.00%	3	10	13	3	1	2	2	40	43
vs San Antonio Spurs																				
	25-Oct-22	W 120-106	26	5	2	28	10-Jul	3-Jan	61.50%	9-Sep	100.00%	1	4	5	2	1	3	3	26	29
vs Indiana Pacers																				
	27-Oct-22	L 119-109	31	5	3	38	13-Oct	4-Feb	70.60%	7-May	71.40%	0	5	5	3	0	2	0	31	30
@ Toronto Raptors																				
	30-Oct-22	W 109-114	25	7	4	32	13-Aug	2-Jan	60.00%	9-Jun	66.70%	2	5	7	4	1	5	0	25	23
@ Chicago Bulls																				
	8-Nov-22	W 100-88	33	10	5	37	17-Jul	4-Jan	38.10%	16-16	100.00%	7	3	10	5	0	3	1	33	33
vs Phoenix Suns																				
	11-Nov-22	L 104-95	26	13	2	32	15-Sep	0-3	50.00%	10-Aug	80.00%	0	13	13	2	1	7	1	26	25
@ Atlanta Hawks																				
	13-Nov-22	W 121-109	42	10	6	40	13-19	6-Jan	56.00%	13-16	81.30%	0	10	10	6	2	4	2	42	44
vs Atlanta Hawks																				
	14-Nov-22	W 105-98	59	11	8	37	18-23	5-Jan	67.90%	20-24	83.30%	1	10	11	8	1	5	7	59	68
vs Utah Jazz																				
	19-Nov-22	W 110-102	32	11	8	37	20-Oct	6-Feb	46.20%	8-Jun	75.00%	1	10	11	8	1	5	3	32	34
vs Milwaukee Bucks																				
	20-Nov-22	L 109-112	32	9	6	36	11-Apr	4-Feb	40.00%	18-20	90.00%	1	8	9	6	3	6	0	32	33
vs Minnesota Timberwolves																				
	29-Nov-22	W 104-101	30	8	7	35	17-Sep	0-1	50.00%	13-Dec	92.30%	1	7	8	7	2	4	2	30	35
vs Atlanta Hawks																				
	1-Dec-22	L 113-85	19	6	6	29	16-Jun	0-0	37.50%	9-Jul	77.80%	3	3	6	6	3	1	0	19	21
@ Cleveland Cavaliers																				
	3-Dec-22	L 117-109	35	11	8	41	23-Dec	3-Jan	50.00%	9-Aug	88.90%	1	10	11	8	1	3	3	35	41
@ Memphis Grizzlies																				
	6-Dec-22	L 132-123	39	7	3	35	19-Nov	2-Jan	57.10%	14-17	82.40%	3	4	7	3	2	5	2	39	36
@ Houston Rockets																				
