GAME	DATE	SCORE	PTS	REB	AST	MIN	2M-2A	3M-3A	FG%	1M-1A	1%	OR	DR	REB	AST	STL	TO	BLK	PTS	EFF
	20-Oct-22	L 123-102	27	4	6	33	14-Nov	3-Jan	70.60%	2-Feb	100.00%	2	2	4	6	3	3	0	27	32
@ Utah Jazz																				
	22-Oct-22	W 123-128	26	12	10	34	11-Jun	2-Jan	53.80%	11-Nov	100.00%	3	9	12	10	0	5	0	26	37
@ Golden State Warriors																				
	23-Oct-22	W 122-117	19	16	13	39	9-May	1-Jan	60.00%	9-Jun	66.70%	1	15	16	13	1	3	1	19	40
vs Oklahoma City Thunder																				
	25-Oct-22	L 135-110	9	9	9	27	4-Mar	0-0	75.00%	3-Mar	100.00%	1	8	9	9	0	1	0	9	25
@ Portland Trail Blazers																				
	27-Oct-22	W 110-99	31	13	9	35	13-Dec	0-4	70.60%	7-Jul	100.00%	1	12	13	9	4	3	0	31	49
vs Los Angeles Lakers																				
	29-Oct-22	W 117-101	12	10	6	25	6-Mar	0-4	30.00%	8-Jun	75.00%	3	7	10	6	1	1	1	12	20
vs Utah Jazz																				
	31-Oct-22	L 121-110	23	14	6	36	11-Jul	5-Jan	50.00%	7-Jun	85.70%	4	10	14	6	0	2	2	23	34
@ Los Angeles Lakers																				
	4-Nov-22	W 110-122	15	13	14	36	9-Jun	0-0	66.70%	3-Mar	100.00%	0	13	13	14	1	10	0	15	30
@ Oklahoma City Thunder																				
	6-Nov-22	W 126-101	21	6	10	27	9-Aug	1-Jan	90.00%	2-Feb	100.00%	0	6	6	10	2	4	0	21	34
vs San Antonio Spurs																				
	8-Nov-22	W 109-115	26	8	10	34	19-Nov	0-1	55.00%	5-Apr	80.00%	1	7	8	10	2	4	3	26	35
@ San Antonio Spurs																				
	10-Nov-22	W 119-122	24	4	6	21	17-Sep	3-Jan	50.00%	3-Mar	100.00%	1	3	4	6	2	1	1	24	26
@ Indiana Pacers																				
	12-Nov-22	L 131-112	29	8	3	30	16-Oct	4-Feb	60.00%	4-Mar	75.00%	3	5	8	3	0	2	0	29	29
@ Boston Celtics																				
	14-Nov-22	W 103-126	8	6	14	28	4-Apr	0-0	100.00%	0-0	-	0	6	6	14	3	2	0	8	29
@ Chicago Bulls																				
	23-Nov-22	L 108-110	31	9	10	37	16-Dec	0-0	75.00%	11-Jul	63.60%	2	7	9	10	1	5	1	31	39
vs Detroit Pistons																				
	24-Nov-22	W 126-131	39	10	9	43	12-Oct	3-Jan	73.30%	16-18	88.90%	3	7	10	9	0	4	0	39	48
@ Oklahoma City Thunder																				
	26-Nov-22	W 104-114	19	13	6	32	12-Jul	0-1	53.80%	7-May	71.40%	2	11	13	6	2	2	1	19	31
@ LA Clippers																				
	29-Nov-22	W 129-113	32	12	8	27	15-Oct	2-Jan	64.70%	10-Sep	90.00%	6	6	12	8	0	3	0	32	42
vs Houston Rockets																				
	1-Dec-22	W 120-100	17	9	12	28	6-May	3-Feb	77.80%	1-Jan	100.00%	1	8	9	12	1	4	1	17	34
vs Houston Rockets																				
	3-Dec-22	L 117-109	24	10	8	35	9-Jul	6-Mar	66.70%	4-Jan	25.00%	1	9	10	8	1	2	0	24	33
@ Atlanta Hawks																				
	4-Dec-22	L 121-106	32	16	9	37	15-Dec	4-Jan	68.40%	9-May	55.60%	4	12	16	9	2	4	1	32	46
@ New Orleans Pelicans																				
	7-Dec-22	L 115-116	19	8	8	34	10-Jul	0-3	53.80%	6-May	83.30%	0	8	8	8	1	3	0	19	26
vs Dallas Mavericks																				
	9-Dec-22	W 120-121	33	10	9	34	13-22	3-Jan	56.00%	6-Apr	66.70%	3	7	10	9	0	6	1	33	34
@ Portland Trail Blazers																				
	11-Dec-22	W 115-110	31	12	14	35	16-Oct	4-Jan	55.00%	10-Aug	80.00%	3	9	12	14	1	3	4	31	48
vs Utah Jazz																				
	15-Dec-22	W 141-128	43	14	8	33	17-18	0-2	85.00%	10-Sep	90.00%	2	12	14	8	4	8	1	43	58
vs Washington Wizards																				
	17-Dec-22	L 126-108	25	11	8	35	12-Jul	3-Jan	53.30%	9-Aug	88.90%	2	9	11	8	4	5	0	25	35
@ Los Angeles Lakers																				
	19-Dec-22	W 119-115	40	27	10	40	22-Nov	4-Feb	50.00%	17-Dec	70.60%	7	20	27	10	2	5	0	40	56
vs Charlotte Hornets																				
	21-Dec-22	W 105-91	13	13	13	37	11-May	1-Jan	50.00%	0-1	0.00%	4	9	13	13	2	4	0	13	30
vs Memphis Grizzlies																				
	24-Dec-22	W 120-107	29	8	11	36	21-Dec	0-0	57.10%	8-May	62.50%	2	6	8	11	2	2	0	29	36
vs Portland Trail Blazers																				
	26-Dec-22	W 128-125	41	15	15	44	14-21	4-Feb	64.00%	9-Jul	77.80%	4	11	15	15	0	3	1	41	58
vs Phoenix Suns																				
	28-Dec-22	W 106-113	20	9	11	37	10-Jul	0-0	70.00%	6-Jun	100.00%	0	9	9	11	1	0	0	20	38
