GAME	DATE	SCORE	PTS	REB	AST	MIN	2M-2A	3M-3A	FG%	1M-1A	1%	OR	DR	REB	AST	STL	TO	BLK	PTS	EFF
	19-Oct-22	W 126-117	35	12	4	39	13-Nov	7-Feb	65.00%	9-Jul	77.80%	0	12	12	4	1	3	1	35	41
vs Philadelphia 76ers																				
	22-Oct-22	W 104-111	29	5	4	37	15-Aug	7-Feb	45.50%	7-Jul	100.00%	2	3	5	4	1	2	2	29	27
@ Miami Heat																				
	23-Oct-22	W 120-126	40	8	1	38	11-Oct	10-Apr	66.70%	9-Aug	88.90%	0	8	8	1	1	1	2	40	43
@ Orlando Magic																				
	25-Oct-22	L 120-102	26	8	5	35	10-Apr	8-Apr	44.40%	6-Jun	100.00%	0	8	8	5	0	1	0	26	28
@ Chicago Bulls																				
	29-Oct-22	L 123-132	32	7	4	42	12-Aug	7-Mar	57.90%	8-Jul	87.50%	1	6	7	4	1	4	1	32	32
vs Cleveland Cavaliers																				
	30-Oct-22	W 112-94	23	4	3	27	5-Mar	10-May	53.30%	2-Feb	100.00%	0	4	4	3	1	4	0	23	20
vs Washington Wizards																				
	3-Nov-22	L 114-113	26	12	6	43	12-Jun	9-Feb	38.10%	8-Aug	100.00%	3	9	12	6	1	6	4	26	30
@ Cleveland Cavaliers																				
	5-Nov-22	W 123-119	36	12	6	40	13-May	10-Mar	34.80%	17-20	85.00%	2	10	12	6	1	1	1	36	37
vs Chicago Bulls																				
	6-Nov-22	W 118-133	26	4	5	37	4-Feb	13-Jun	47.10%	4-Apr	100.00%	0	4	4	5	1	3	2	26	26
@ New York Knicks																				
	8-Nov-22	W 106-109	39	4	2	40	14-Sep	11-Mar	48.00%	16-Dec	75.00%	0	4	4	2	0	2	2	39	28
@ Memphis Grizzlies																				
	10-Nov-22	W 128-112	31	1	5	32	9-May	11-May	50.00%	7-Jun	85.70%	0	1	1	5	1	1	1	31	27
vs Detroit Pistons																				
	12-Nov-22	W 131-112	34	8	5	37	14-Sep	7-Feb	52.40%	11-Oct	90.90%	0	8	8	5	0	1	0	34	35
vs Denver Nuggets																				
	13-Nov-22	W 108-117	43	10	3	41	13-Jul	15-Jul	50.00%	10-Aug	80.00%	2	8	10	3	1	3	1	43	39
@ Detroit Pistons																				
	15-Nov-22	W 126-122	27	10	1	38	14-Aug	9-Jan	39.10%	10-Aug	80.00%	1	9	10	1	3	1	3	27	27
vs Oklahoma City Thunder																				
	17-Nov-22	W 101-126	19	7	8	33	9-Mar	10-Mar	31.60%	4-Apr	100.00%	1	6	7	8	1	2	1	19	21
@ Atlanta Hawks																				
	19-Nov-22	W 109-117	19	7	10	39	8-Apr	10-Feb	33.30%	6-May	83.30%	0	7	7	10	0	3	0	19	20
@ New Orleans Pelicans																				
	22-Nov-22	L 121-107	28	11	7	36	9-May	10-Apr	47.40%	7-Jun	85.70%	2	9	11	7	0	4	0	28	31
@ Chicago Bulls																				
	24-Nov-22	W 125-112	37	13	5	37	17-Sep	7-Feb	45.80%	13-15	86.70%	3	10	13	5	0	2	2	37	40
vs Dallas Mavericks																				
	26-Nov-22	W 122-104	30	8	4	31	11-Aug	6-Feb	58.80%	9-Aug	88.90%	1	7	8	4	1	3	0	30	32
vs Sacramento Kings																				
	29-Nov-22	W 140-105	35	3	3	30	14-Nov	14-Apr	53.60%	1-Jan	100.00%	0	3	3	3	2	0	1	35	31
vs Charlotte Hornets																				
	1-Dec-22	W 134-121	49	11	3	39	13-Jul	12-Aug	60.00%	12-Nov	91.70%	1	10	11	3	2	1	0	49	53
vs Miami Heat																				
	3-Dec-22	L 116-120	14	12	3	41	11-May	0-7	27.80%	6-Apr	66.70%	3	9	12	3	0	5	0	14	9
vs Miami Heat																				
	5-Dec-22	W 92-103	29	11	1	37	13-Jul	6-Mar	52.60%	6-Jun	100.00%	2	9	11	1	4	9	0	29	27
@ Brooklyn Nets																				
	6-Dec-22	W 110-116	31	12	3	39	14-Jun	10-May	45.80%	5-Apr	80.00%	3	9	12	3	1	4	1	31	30
@ Toronto Raptors																				
	8-Dec-22	W 98-125	25	5	2	29	11-Jun	8-Mar	47.40%	6-Apr	66.70%	0	5	5	2	2	3	0	25	19
@ Phoenix Suns																				
	11-Dec-22	L 123-107	18	7	2	40	12-Apr	9-Feb	28.60%	7-Apr	57.10%	1	6	7	2	3	2	1	18	11
@ Golden State Warriors																				
	13-Dec-22	L 113-93	20	11	4	37	12-May	8-Feb	35.00%	4-Apr	100.00%	2	9	11	4	1	3	0	20	20
@ LA Clippers																				
	14-Dec-22	W 118-122	44	9	6	44	19-Oct	10-May	51.70%	10-Sep	90.00%	1	8	9	6	0	4	1	44	41
@ Los Angeles Lakers																				
	17-Dec-22	L 109-117	31	7	3	38	12-Jul	8-Feb	45.00%	12-Nov	91.70%	3	4	7	3	2	2	0	31	29
vs Orlando Magic																				
	22-Dec-22	L 112-117	41	5	4	41	14-Sep	11-Apr	52.00%	13-Nov	84.60%	1	4	5	4	2	2	1	41	37
vs Indiana Pacers																				
	24-Dec-22	W 121-109	30	8	5	35	16-Sep	6-Jan	45.50%	11-Sep	81.80%	2	6	8	5	1	3	0	30	27
vs Minnesota Timberwolves																				
	25-Dec-22	W 139-118	41	7	5	36	15-Nov	7-Mar	63.60%	10-Oct	100.00%	0	7	7	5	3	1	0	41	47
vs Milwaukee Bucks																				
	28-Dec-22	W 126-102	38	8	4	34	9-Jun	16-Jun	48.00%	8-Aug	100.00%	0	8	8	4	1	2	1	38	37
vs Houston Rockets																				
	30-Dec-22	W 116-110	29	11	1	36	15-Jul	11-Mar	38.50%	10-Jun	60.00%	1	10	11	1	0	2	1	29	20
vs LA Clippers																				
	2-Jan-23	L 123-111	25	7	6	36	12-Jul	0-4	43.80%	14-Nov	78.60%	0	7	7	6	2	5	0	25	23
@ Denver Nuggets																				
	4-Jan-23	L 150-117	27	6	2	30	10-Jul	7-Feb	52.90%	7-Jul	100.00%	1	5	6	2	0	4	0	27	23
@ Oklahoma City Thunder																				
	6-Jan-23	W 95-124	29	14	10	35	14-Jun	8-Feb	36.40%	12-Nov	91.70%	2	12	14	10	1	2	2	29	39
@ Dallas Mavericks																				
	8-Jan-23	W 116-121	34	4	2	36	16-Aug	10-May	50.00%	5-Mar	60.00%	0	4	4	2	0	2	0	34	23
@ San Antonio Spurs																				
	10-Jan-23	W 107-99	32	8	7	38	10-Jun	11-Apr	47.60%	8-Aug	100.00%	0	8	8	7	1	1	0	32	36
vs Chicago Bulls																				
	12-Jan-23	W 125-114	31	10	4	36	14-Jul	8-Mar	45.50%	10-Aug	80.00%	2	8	10	4	1	0	0	31	32
vs New Orleans Pelicans																				
	13-Jan-23	W 98-109	20	11	5	38	12-May	10-Feb	31.80%	4-Apr	100.00%	0	11	11	5	0	3	1	20	19
@ Brooklyn Nets																				
	15-Jan-23	W 106-122	33	9	6	37	13-Aug	14-Apr	44.40%	5-May	100.00%	3	6	9	6	0	1	1	33	33
@ Charlotte Hornets																				
	16-Jan-23	W 118-130	51	9	5	40	11-Aug	12-Jul	65.20%	14-14	100.00%	1	8	9	5	0	4	0	51	53
@ Charlotte Hornets																				
	20-Jan-23	W 121-118	34	19	6	48	14-May	13-Apr	33.30%	12-Dec	100.00%	2	17	19	6	3	7	0	34	37
vs Golden State Warriors																				
	24-Jan-23	L 113-98	26	6	7	38	9-May	10-Apr	47.40%	6-Apr	66.70%	0	6	6	7	1	3	0	26	25
@ Orlando Magic																				
	25-Jan-23	L 98-95	31	14	7	40	13-Jul	5-Feb	50.00%	14-Nov	78.60%	0	14	14	7	1	7	0	31	34
@ Miami Heat																				
	27-Jan-23	L 117-120	35	14	4	43	19-Oct	7-Feb	46.20%	9-Sep	100.00%	2	12	14	4	1	3	1	35	38
vs New York Knicks																				
	29-Jan-23	W 125-121	30	11	4	47	15-May	10-Mar	32.00%	12-Nov	91.70%	2	9	11	4	2	6	1	30	24
vs Los Angeles Lakers																				
	2-Feb-23	W 139-96	31	9	4	29	7-May	12-Jul	63.20%	0-0	-	1	8	9	4	2	1	1	31	39
vs Brooklyn Nets																				
	4-Feb-23	L 94-106	20	6	5	38	0-5	10-Mar	20.00%	12-Nov	91.70%	0	6	6	5	0	2	0	20	16
vs Phoenix Suns																				
	7-Feb-23	W 99-111	34	11	6	39	14-Aug	9-Mar	47.80%	10-Sep	90.00%	2	9	11	6	0	4	1	34	35
@ Detroit Pistons																				
	9-Feb-23	W 106-99	12	8	9	37	10-Apr	5-Jan	33.30%	3-Jan	33.30%	1	7	8	9	1	4	1	12	15
vs Philadelphia 76ers																				
	11-Feb-23	W 127-116	41	4	4	37	11-Aug	10-May	61.90%	12-Oct	83.30%	0	4	4	4	1	4	2	41	38
vs Charlotte Hornets																				
	12-Feb-23	W 119-109	16	7	3	39	8-Feb	8-Jan	18.80%	12-Sep	75.00%	0	7	7	3	2	3	2	16	11
vs Memphis Grizzlies																				
	16-Feb-23	W 127-109	38	9	7	34	14-Sep	10-Jun	62.50%	2-Feb	100.00%	0	9	9	7	0	4	0	38	41
vs Detroit Pistons																				
	24-Feb-23	W 138-142	31	12	7	42	13-Jun	12-Mar	36.00%	11-Oct	90.90%	3	9	12	7	2	4	1	31	32
@ Indiana Pacers																				
	26-Feb-23	W 107-110	18	13	6	36	8-Apr	9-Mar	41.20%	2-Jan	50.00%	3	10	13	6	0	5	1	18	22
@ Philadelphia 76ers																				
	28-Feb-23	L 109-94	14	7	9	37	9-May	9-Jan	33.30%	1-Jan	100.00%	2	5	7	9	1	4	0	14	15
@ New York Knicks																				
	2-Mar-23	W 117-113	41	11	8	36	15-Sep	6-Apr	61.90%	14-Nov	78.60%	2	9	11	8	0	3	0	41	46
vs Cleveland Cavaliers																				
	4-Mar-23	L 105-115	22	13	5	38	15-Oct	0-8	43.50%	2-Feb	100.00%	1	12	13	5	1	4	2	22	26
vs Brooklyn Nets																				
	6-Mar-23	L 129-131	40	11	6	49	13-Jun	17-Jun	40.00%	12-Oct	83.30%	2	9	11	6	0	2	0	40	35
vs New York Knicks																				
	9-Mar-23	W 115-93	30	7	2	31	7-May	10-Jun	64.70%	4-Feb	50.00%	1	6	7	2	1	3	0	30	29
vs Portland Trail Blazers																				
	12-Mar-23	W 125-134	34	15	6	35	11-Jul	14-May	48.00%	6-May	83.30%	0	15	15	6	0	1	1	34	41
@ Atlanta Hawks																				
	14-Mar-23	L 111-109	22	8	6	41	12-Jun	10-Feb	36.40%	4-Apr	100.00%	0	8	8	6	1	4	0	22	19
@ Houston Rockets																				
	16-Mar-23	W 102-104	22	12	2	37	8-Apr	0-8	25.00%	14-16	87.50%	1	11	12	2	2	2	1	22	23
@ Minnesota Timberwolves																				
	18-Mar-23	W 112-126	34	12	4	36	9-Jun	11-Feb	40.00%	16-18	88.90%	1	11	12	4	3	5	0	34	34
@ Portland Trail Blazers																				
	19-Mar-23	L 118-117	15	3	6	39	4-Jan	8-Mar	33.30%	6-Apr	66.70%	0	3	3	6	0	2	1	15	13
@ Utah Jazz																				
	22-Mar-23	W 109-132	36	8	4	35	18-Dec	7-Feb	56.00%	11-Jun	54.50%	1	7	8	4	2	1	0	36	33
@ Sacramento Kings																				
	25-Mar-23	W 120-95	34	7	2	32	15-Oct	9-Mar	54.20%	6-May	83.30%	0	7	7	2	2	6	0	34	27
vs Indiana Pacers																				
	29-Mar-23	L 130-111	28	9	5	32	12-Sep	7-Feb	57.90%	4-Apr	100.00%	0	9	9	5	0	3	1	28	32
@ Washington Wizards																				
	31-Mar-23	W 99-140	40	8	1	31	8-Apr	10-Aug	66.70%	8-Aug	100.00%	1	7	8	1	0	0	0	40	43
@ Milwaukee Bucks																				
	1-Apr-23	W 122-114	39	11	3	36	9-Jul	8-May	70.60%	11-Oct	90.90%	1	10	11	3	3	0	0	39	50
vs Utah Jazz																				
	5-Apr-23	L 103-101	19	6	6	38	12-May	8-Feb	35.00%	5-Mar	60.00%	1	5	6	6	3	2	0	19	17
@ Philadelphia 76ers																				
	8-Apr-23	W 121-102	21	3	4	21	7-Jul	0-5	58.30%	9-Jul	77.80%	1	2	3	4	0	3	0	21	18
vs Toronto Raptors																				
